question,answer
Je dois payer maintenant?,"oui , parce qu'on a besoin de cette validation avant d'envoyer la commande auprès de la conseillère"
c'est  quoi la différence entre un kit simple et un kit double?,"un kit simple contient une seule téterelle avec laquelle vous serez obligé de tirer un sein après l'autre mais avec un kit double, vous aurez 2 téterelles ce qui vous donne le choix entre tirer sein par sein ou bien directement les deux seins en même temps, ce qui vous fait gagner du temps"
qu'est ce que je dois mesurer plus exactement svp ?,"Alors vous devez juste mesurer que les mamelons uniquement sans l'aréole , l'idéale c'est après tété pour avoir la bonne taille"
qu'est ce que je dois fournir pour la location ?,"et bien Mme on a besoin d'une ordonnance à votre nom et  indépendante d'autre prescription médicale , que vous soyez affiler à une  sécu et à une mutuelle pour bénéficier le tiers payant ."
Les flacons de recueil ont une capacité de combien de millilitre ?,120ml pour seinbiose et 100ml pour mamivac.
Est ce que je peux changer de tire lait ?,"Oui, il faudra juste racheter les kits si vous changer de marque et régler les frais d'envoi."
est ce vous livrez à la maternité ou bien forcément à la maison ?,"et bien on livre à la maternité comme à domicile , mais on priorise toujours la livraison à la maternité tout d'abord"
"Je serai prélevée de 7,50€ par semaine et il y aura un  remboursement ?","Non, vous ne serez prélevée que si vous avez des retards de documents ou en cas de rejet de prise en charge."
Est ce que la conseillère va me montrer comment utiliser le tire lait ?,"Oui, soit par visioconférence ou en présentiel, cela va dépendre de votre domicile."
Problème d'aspiration au niveau d'un des deux port du TL Mamivac,envoyer un nouveau TL après avoir vérifier que tout est bon au niveau des accessoires
Je souhaite louer un tire?lait Seinbiose. Est?ce que toutes les tailles de téterelles sont fournies à la livraison ou faut?il les ajouter à la commande ?,"La livraison inclut la téterelle standard (25?mm pour Seinbiose, 28?mm pour Mamivac) ainsi que des embouts réducteurs 15 / 17 / 19 / 21?mm. Le colis comprend aussi un sac de transport isotherme et un pain de glace."
J’ai envoyé l’ordonnance de renouvellement. Est-ce que tout est en ordre de votre côté ? J’aurais aussi besoin d’un nouveau kit comme indiqué dans l’ordonnance. Pouvez-vous demander à la commerciale de mon secteur de passer ?,"Tout est en ordre concernant votre ordonnance. La sécurité sociale prend en charge le renouvellement d’un kit de téterelles tous les 6 mois. Vous pouvez reprendre un kit double à 15?€ à partir du 21/03/2026. Hors prise en charge, le tarif est de 20?€ la téterelle ou 37?€ la paire, commandable en ligne. La livraison peut se faire sous 24?h via Chronopost si la commande est passée avant 15?h, ou par la commerciale avec des frais de déplacement de 29?€."
combien de fois faut il tirer son lait par jour,"pour maintenir la production, 6 à 8 fois par 24 h en exclusif et si c’est seulement pour faire un stock 1 à 2 fois par jour peut suffire , ça dépend aussi du cas"
quelle durée doit faire une séance de tirage,15 à 20 minutes par sein
comment choisir la bonne taille de téterelle,la téterelle doit entourer le mamelon sans frotter et sans aspirer trop d’aréole avec (ni trop large ni trop serré)
Je souhaite louer un tire?lait aujourd’hui à la maternité pour cause de perte de poids du bébé — est?ce possible dans la journée ?,"La livraison en maternité dans la journée dépend entièrement de votre localisation.

Pourriez-vous nous indiquer la maternité sur laquelle vous êtes actuellement et nous laisser peut-être votre numéro de téléphone pour que l'on puisse mieux vous expliquer la procédure ?"
est ce que je peut tirer après la tétée,"oui,en cas d'engorgement et ça aide aussi pour stimuler bien la lactation parce que le plus que le sein est vidé le plus que le sein va se remplir"
c'est normal si je ne tire que peux de lait?,au début c'est courant:la quantité augmente avec l'entretient et une bonne stimulation.
quel est le meilleur moment de la journée pour tirer son lait?,"le matin surtout la production est souvent plus abondante grâce à l'hormone de la prolactine qui est surtout élevée le matin , mais tout moment aussi possible"
le tirage avec un tire lait est il comparable à la tétée du bébé pour stimuler la lactation,nos modelés imitent la succion naturelle du bébé à travers la phase stimulation puis expression ce qui aide bien à stimuler la lactation
que faire si j’ai l’impression que le tirelait tire trop fort,diminuez la puissance +vérifiez aussi que la téterelle est à la bonne taille
est ce qu'on peut utiliser le tire lait si le mamelon est plat ou ombiliqué?,nos modèles sont adaptés pour aider dans ce cas car l’aspiration douce et réglable peut stimuler le mamelon
a quelle fréquence je peux tirer mon lait,cela dépend de vos objectifs : pour un entretien il faut maintenir des tirages régulier et pour uun sevrage réduisez progressivement la fréquence
Est-ce que le Seinbiose Moon Pro fonctionne sur prise électrique ?,"Le Seinbiose Moon Pro peut être utilisé soit branché sur secteur, soit sur sa batterie rechargeable, pour environ 2 heures d’autonomie lorsque vous l’utilisez sans prise."
j'ai un Moon pro en location il y a plusieurs boutons sur L'écran qui ne fonctionnent plus .,je vous envoie un autre tire lait par voie postale et le retour c'est à nos frais pour pouvoir rendre celui que vous avez actuellement .
je loue actuellement un tire lait Moon pro j'ai un problème lorsque j'augmente la puissance surtout la valve 1/2 sphère ça pompe plus ça reste bloquée dans le capuchon blanc .,Généralement ce problème provient de la machine du coup je vais vous envoyer un nouveau tire lait
Je suis intéressée par la location d'un tire spectra S1 s'il vous plait .,"Le spectra est en rupture de stock en ce moment, les quantités sont assez limitées et la demande est très importante . Je peux vous proposer un autre modèle qui fonctionne pareil sur batterie et sur secteur c'est le Moon pro de la marque seinbiose"
"le tire lait me fait mal, c'est normal?",non lle tire lait ne devrait pas être douloureux  et si c'est le cas il faut vérifiez la taille des téterelles et la position de la tèterelle sur le sein pendant le tirage et la puissance aussi de tirage il ne faut pas utiliser une puissance forte au point que ça fait mal
j'ai actuellement un mamivac et je remarqué que je tire quasiment rien c'est juste quelques gouttes pourtant le bébé il prend le sein et quand je fais à la main y a du lait qui coule .,Si votre bébé a dépassé 1 mois il faut penser à modifier le paramétrage car au delà d'un mois après l'accouchement vous devrez baisser la vitesse à 33 / 25 ou 20 selon l'état d'engorgement de vos seins et augmenter la puissance selon votre sensibilité pour pouvoir tirer en profondeur et vider au maximum vos seins .
pourquoi mon lait ne sort pas?,"cela peut être du a un une pièce défactures de la téterelles, problème de taille téterelle, une faible puissance ou un stress, assurez vous d'être sans un endroit calme et détendu ,commencez par la phase stimulation puis expression et pensez à augmenter la puissance"
Le TL ne fonctionne pas (ne s'allume pas ),"Elle doit changer de prise si le pb persiste , il faut lui envoyer un nouveau TL"
Le tire lait sera livré avec les téterelles ?,"Oui, ce sera dans un seul et même colis."
J'ai de moins en moins de lait avec le tire lait Moon pro alors que je n'ai rien changé aux réglages.,"Si votre a plus de 1 mois il faut utiliser L5/L4 pour la deuxième phase, à savoir que L3/L2 c'est à partir de 6 mois et L1 pour le désengorgement à tout moment."
Je veux vérifier avec vous les éléments à rendre pour le renvoi du tire-lait?,"Vous devez mettre la machine , le chargeur , le sac à dos et le pack de glace."
comment rendre le TR L ?,mail de retour envoyer
"*est ce que vous avez reçu le tire lait?
*comment libérer ma caution?","*tire lait reçu
*dossier a jour mandat sepa désactivé."
le règlement de 150€ est il effectuer ou non?,le paiement a échoué. un nouveau lien est générer
des explications concernant les 100€ qu'on lui demande de payer,elle a perdu le TR L : elle doit payer pour clôturer le dossier
Elle veut savoir pourquoi j'ai eu du prélèvement du 30€.,Explication faite à la maman c'est pour la période non couverte par l'ordonnance du 28/10/2025 au 24/11/2025.
elle demande la photo du chargeur qu'on a reçu et une photo du chargeur demander,mail envoyer avec la photo du chargeur demander +mail env a isabelle pour nous env la photo du chargeur reçu
Pourquoi on me demande de signer un MANDAT SEPA?,"C'est la garantie du TL car on ne fait pas de caution, on ne prélève rien tant que vous êtes à jour au niveau de vos ordonnances; c'est juste au cas où après les 10 semaines si vous ne rendez pas le TL ou que si vous ne renouveler pas l'ordonnance"
est-ce que c'est 15euros à payer par semaines ?,"Non, les 15euros c'est pour l'achat du kit téterelle une fois seulement"
Est-ce que vous venez récupérer le TL lorsqu'on en aura plus besoin ?,"Le retour se fait plutôt par le biais de chronopost et vous allez juste faire un colis ; mettre dans un carton le TL, chargeur, sac de transport et pain de glace, vous pouvez télécharger une étiquette sur notre site, l'imprimer et la coller sur le carton. Le retour sera à nos frais, vous le ramener dans un bureau de poste le plus près de chez vous"
Le tire-lait manque de puissance.,La taille de la téterelle n’est pas adaptée. Elle fait du 21 mm et utilise la taille 25 mm.
Comment renouveler l'ordo?,"Vous pouvez juste prendre une nouvelle ordo auprès de votre médecin traitant, gynéco, pédiatre du bb, SF ou même la PMI et nous envoyer par mail"
Sur mon ordonnance c'est déjà écrit renouvelable 1fois donc c'est bon? Je n'ai plus besoin de renouveler après les 10semaines,"Non, il faudra quand même reprendre une nouvelle ordonnance après les 10sem svp madame car une ordonnance n'est valable qu'une seule fois auprès de la sécu"
Combien de temps dure la location?,La première ordonnance est valable 10semaines puis les ordonnances de renouvellement seront valables 3mois et vous pouvez renouveler autant de fois que vous le souhaitez et garder le TL autant de temps que vous le voulez
"Je souhaite passer commande sur le site, mais on ne me demande pas ma taille de téterelle. Que dois-je faire ?","C’est normal, car le choix de la taille se fait sur place avec la conseillère lors de son passage."
comment je vous envoie les documents?,"Puisque votre livraison se fait par le biais d'une conseillère c'est elle qui va prendre en photo directement votre ordonnance, carte vitale et carte mutuelle lors de son passage"
"je ne connais pas ma taille, comment faire ?","la conseillère va vous mesurer sur place, elle viendra avec plusieurs taille à l'avance pour voir avec vous ce qui sera mieux adapté à votre morphologie"
"J’ai eu un appel de votre part m’informant que mon ordonnance arrive à échéance, alors que la dernière était pour 6 mois. Pouvez-vous vérifier ?","D’après la règle de la Sécurité sociale, les ordonnances de prolongation ne peuvent aller que jusqu’à 3 mois maximum."
"Je ne suis pas sûre de la taille que j'ai prise, comment faire ?","Ne vous inquiétez pas, étant donné que la livraison se fait par le biais de Chronopost/un transporteur, on vous enverra toutes les tailles et vous pourrez vérifier avec la conseillère lors de la visio ce qui sera plus adapté"
Vous pouvez livrer à la maternité ?,"Oui, si nous avons une conseillère disponible sur le secteur où se situe la maternité, vous êtes à quelle maternité et je vérifie svp?"
Mon TL MOON PRO n'aspire plus autant qu'avant,"Pouvez vous m'indiquer les réglages que vous utilisez svp ? Si le bb a déjà a déjà plus d'un mois il ne faut plus tirer sur la vitesse L6 lorsque vous passez à la phase d'expression, il faut diminuer la vitesse de tirage pour pouvoir tirer plus en profondeur; il faut tirer sur L4 svp"
Ma taille a changé et le TL ne fonctionne plus correctement,"Il faudra vous remesurer alors svp, car c'est normal si ça ne tire pas bien si la taille n'est pas adaptée, je vous invite à vous mesurer à l'aide d'une règle, d'un mètre ruban par exemple ça peut très bien faire ; vous allez mesurer le diamètre de la base du bout du téton après tété ou après un tirage avec le TL (il faut que le téton soit stimuler pour avoir la taille exacte), vous prenez seulement le bout du téton sans l'aréole (le contour du téton) svp, et c'est comme ça que vous allez piuvoir vérifier la taille si a a changé ou pas"
On m’a dit que la CMU prend en charge à 100 % les frais de location. Pourquoi devrais-je payer 15 € ?,"Oui, la CMU prend bien en charge à 100 % les frais de location. En revanche, les 15 € correspondent au reste à charge pour l’achat du kit téterelle, qui n’est pris en charge que partiellement par la CMU."
C'est pourquoi la visio ? c'est un appel vidéo ?,"C'est pour vous assister à installer le TL et c'est aussi exigé par la sécu pour la prise en charge svp, oui c'est un sorte d'appel vidéo"
qu'est-ce qu'il faut retourner svp?,"il faut retourner seulement le TL, chargeur, sac de transport et pain de glace svp, ne retourner pas les kits téterelles car c'est à vous c'était à l'achat et de plus c'est  usage personnel"
Le tire-lait Moon Pro ne pompe pas. Je ne fais que des tirages simples.,Elle n'a pas bouché l'autre orifice
Maman demande explication pour le prélèvement fait et le remboursement,"Explication faite pour le remboursement, qu'elle va recevoir feuille de soin."
LE PAPA VEUT PAYER PAIN DE GLACE,LIEN ENVOYEE DE 5€
"la maman ne parle pas Français, elle reçu  des  relances de l'IA elle va nous rapl demain avec son amie",un commentaire laisser sur son dossier
si on a reçu les documents,confirmer la bonne réception des documents
Papa veut une explication pour le  montant payer pour la période sans ordonnance,explication faite de nous faire parvenir ordonnance pour éviter le paiement
comment faire pour rendre le tire lait?,procédure de retour envoyé a la maman.
Pourquoi on la relancée?,Explication Faite par rapport aux documents manquants à son dossier.
Je n'arrive pas à louer le Symphony de Medela depuis le site. Pouvez-vous m'aider ?,"Pour louer le Symphony, il faut contacter le service afin que nous puissions d’abord vérifier le stock."
Je vous ai déjà envoyé mon ordonnance et j’ai encore été relancée.,"Nous avons bien reçu l’ordonnance, mais elle contient d’autres médicaments, alors qu’il nous faut une ordonnance indépendante de toutes autres prescriptions."
Le tire-lait ne tire plus comme avant.,Il faut adapter les réglages selon l’état de vos seins et l’âge du bébé
Avez-vous des tire-laits mains libres ? Le modèle qui permet de tirer son lait tout en faisant autre chose.,"Non, nous n'avons pas de tire-lait mains libres. En revanche, la marque Seinbiose propose des téterelles mains libres qui se glissent dans le soutien-gorge."
"J’ai passé une commande sur le site et on m’a appelé, mais j’ai raté l’appel.","Oui, c’est pour créer la fiche administrative pour le tiers payant."
elle demande si on a bien reçu l'ordo,vérification faite +sms env pour qu'elle nous env l'ordo sur notre boite mail doc
elle veux rendre le TR L,mail de retour env
Maman veut nous informer qu'elle a rdv demain pour nous faire parvenir les ordonnances manquantes,un commentaire laisser sur son dossier
Est-ce qu'il faut faire un chèque de caution ?,"Il n'y a plus de chèque de caution, on vous demandera plutôt de signer un mandat SEPA comme garantie"
Est-ce que je peux faire la commande sur le site ?,Oui vous pouvez passer la commande sur le site ou avec nous au téléphone.
si on a reçu l'ordo,vérification faite ordo bien reçu
comment régler le mq pack de glace,lien paytweak de 5€  env
comment savoir la taille ?,la conseillère va vous vérifier avec vous sur place la taille adaptée
la conseillère m'appelera avant de venir ?,Oui puisque c'est elle même qui gère son planning elle vous appelera avant de passer
"l'ordonnance que j'ai envoyé c'est pour toute la durée de l'allaitement, pourquoi on me relance par rapport à l'ordo ?","Car auprès de la sécu, une ordo n'est valable qu'une fois, et l'ordo initiale est valable 10sem maximum puis les ordo de renouvellement 3mois, selon la loi de la sécu, donc il faudra en reprendre une nouvelle svp"
Maman veut vérifier pourquoi elle a été prélevée,Explication  faite qu'elle va recevoir le feuille de soin pour le remboursement.
Est-ce que je peux faire la commande avec vous ou je dois passer par le site ?,On peut faire la commande directement par téléphone si vous voulez.
concernant le prélèvement du 30€,elle n'a pas env l'ordo du 29.10.25 dés qu'elle  nous env l'ordo en va lui env les feuil de soins
On m'a dit que vous avez des conseillère qui peuvent faire la livraison à domicile ?,"Le mode de livraison dépend de l'endroit où vous habitez, bien sûr s'il y a une conseillère disponible elle va faire la livraison."
La livraison se fait sous combien de temps ?,Le délai maximum est de 24h.
le papa apl pour nous informer qu'il va déposer le TR L le 15.12.25 et env les ord le 11.12.25,un commentaire noter  sur son dossier
J'ai la caisse de monaco. Est-ce que je peux louer chez vous ?,"Oui, il faudra juste faire l'avance des frais. On vous envoie après la feuille de soin avec la facture pour que vous puissiez faire la demande de remboursement."
Pourquoi on me demande de payer 15€ sur le site ?,"C'est pour le reste à charge des kits téterelles. Les accessoires sont en achat, une partie est déjà pris en charge par la sécu et la mutuelle."
Je veux un tire lait facile à utiliser.,Nous avons le SENSITIVE C qui a juste deux boutons pour régler séparément la vitesse et la puissance de pompage.
Je veux racheter un kit double. J'ai acheté le dernier en Avril et j'ai une ordonnance.,Vous bénéficiez à nouveau de la prise en charge de la sécu et la mutuelle pour l'achat. Vous réglez seulement les 15€.
Est-ce que vous avez un tire lait nomade ?,"Nous n'avons pas de tire lait main libre, mais MOON PRO propose un kit main libre."
"J'ai cassé la cloche de mon kit, je fait 19MM et j'ai le SENSITIVE C. Comment faire ?",Il est possible de racheter juste une cloche de la taille 20MM.
Pourquoi on doit faire la visio ?,L'installation en visio est exigé par la sécu pour valider le tiers payant.
ça prends combien de temps vos livraisons svp ?,nos livraisons sont sous 24h voir selon votre secteur et sinon si c'est par transporteur c'est le jour même
je peux retourner mon tl directement à votre local ?,"bien sûr mme , nous on est au 12 porte du grand Lyon à Neyron"
je dois payer quelque chose pour le retour ?,"non mme , vous devez juste télécharger et imprimer l'étiquette de retour qui est sur notre site , c'est une étiquette déjà affranchie"
l'assistante sociale de mm BERRACHEDI LAMIA apl pour vérifier son dossier,manque doc depuis 2024: mail envoyer détailler pour le mq ordo+carte mutu et étiquette  de retour envoyer
Je n’ai pas reçu de cache-poussière avec mes kits mains libres.,Les caches-poussière ne sont pas fournis avec.
(envoi chrono ou vélo) Est-ce que je dois choisir une taille qui me convient et retourner les autres ?,"Non, vous pouvez toutes les garder car vous en aurez besoin, après quelques mois il se peut que vous changiez de morphologie et comme ça vous serez tranquille car vous aurez déjà toutes les tailles à disposition"
est-ce que vous avez des TL mains libres ?,"Nous proposons plutôt des téterelles mains libres mais elles sont toujours ratachées au TL donc vous serez quand même obligée de vous déplacer en portant de TL, c'est juste les téterelles que vous n'aurez pas à tenir"
Le MOON PRO est-il moins puissant que le SENSITIVE C vu qu'il fonctionne sur secteur et batterie?,"Non, les deux TL sont sur la même gamme de perfomance donc la puissance est pareille même si le MOON fonctionne sur secteur et batterie"
L'IA m'a dit que j'allais recevoir un SMS pour effectuer la procédure mais je ne l'ai pas reçu c'est normal?,"Peut être qu'il y a une un petit bug maisce n'est pas grave, on peut faire la commande ensemble directement en appel"
Je veux rendre le tire lait,Email envoyer à la maman et explication faite
"Est-ce que je vais être prélevée de 7,50€ par mois ensuite ?","Non, il y aura un prélèvement 7,50€ par semaine que si vous avez des retards au niveau de vos documents ou dans le cas où il y aurait un rejet de prise en charge par la sécurité sociale ou votre mutuelle."
veut acheter le tire lait,lien de 100€ envoyé
la maman dit qu'elle nous a communiquer le numéro de l'assistante,j'ai confirmé que nous sommes entré en contact avec l'assistante
elle demande pourquoi on l'appel a chaque fois ?,Ordonnances reçues
la maman va nous rapl demain avec son amie car elle ne sait pas parler Français,commentaire laissé  sur son dossier
elle demande si on a reçu l'ordonnance,j'ai bien confirmé la bonne réception
elle nous apl pour nous informer qu'elle a un rdv le 12.12 pour env l'ordo,commentaire noté sur son dossier
La maman dit qu'elle va envoyer l'ordonnance fin de journée,trés bien
J'ai reçu un appel de votre part mais j'ai envoyé l'ordonnance,"vérification faite , ordonnance non valable pas à son nom et prénom demande de rectification."
si on a reçu l'ordonnance de renouvellement,vérification faite : ordo non reçu : elle va la renvoyer de nouveau
pouquoi vous m'appeler ?,manque ordonnance de mois de novembre
Par rapport l'ordonnance elle va la nous fournir cet après midi et elle veut rendre le tire lait,Un commentaire laissé sur son dossier et email du retour envoyé
comment restituer le matériel,procédure de restitution envoyé et relancé pour une ordonnance
apl suite au relance de l'IA/ MQ ordo,on a bien reçu l'ordo
c'est concernant l'ordonnance de renouvèlement ?,effectivement c'est par rapport a l'ordonnance manquante
"pourquoi je reçois des appels , j'ai déposé le tire-lait","Après vérification, nous constatons que la date de validité de votre ordonnance ainsi que la date limite pour le dépôt du tire-lait ont été dépassées. Nous vous invitons à nous faire parvenir une nouvelle ordonnance afin de couvrir la période manquante"
elle n'arrive pas a télécharger une étiquette de retour,CREATION ETIQUETTE CHRONO
J'ai reçue un appel de votre part mais j'ai déjà envoyé l'ordonnance,"Tout à fait, Ordonnance reçue et votre dossier est en cours de traitement"
j'ai envoyer l'ordonnance pour quoi vous m'appeler   toujours?,"c'est en cours de traitement , merci de ne prenez en compte des appels automatique."
elle nous appelle   pour nous informer qu'elle va nous envoyer l'ordonnance fin semaine,commentaire noter sur son dossier
je suis hospitalisé est ce que c'est possible de vous envoyer l'ordonnance plus tard?,oui c'est possible je vais laisser un commentaire sur votre dossier.
"-comment rendre le TR L ?
- dois- je envoyer une ordonnance si je rend le TR L  aujourd'hui?",mail de retour env+elle doit nous env une ordonnance de clôture
pourquoi vous m'appeler j'ai déjà envoyé  l'ordonnance  ?,confirmer la bonne de réception de l'ordonnance Une mise à jour sera faite sur son dossier.
"Je vous appel par rapport au tire lait, je vais le déposer aujourd'hui mais j'ai pas reçu l'étiquette",Etiquette envoyé au papa et explication faite.
Est ce que vous pouvez procéder a la facturation de la période sans ordonnance vu que je retourne le tire lait ?,"Oui dés le dépôt du matériel , il faudra nous rappeler pour le paiement de la période sans ordonnance"
"Je n'ai pas comprend pas pourquoi vous me relancer , j'ai déjà envoyé l'ordonnance ?","effectivement , nous avons effectivement reçu l'ordonnance"
Je dois payer combien pour la location ?,"Pour la location, nous faisons le tiers payant. Si vous êtes affilié à la sécu et à la mutuelle en plus d'avoir une ordonnance, vous payez seulement le reste à charge des kits avec une signature de mandat SEPA."
"Ma taille à changé, je fais du 15MM maintenant et j'ai Moon Pro avec la taille 17MM.","Pour la taille 15MM, il faudra acheter les embouts souple de 25MM avec des réducteurs de 15MM pour adapter la taille."
Est-ce que les kits mains libre sont pris en charge ?,Les kits mains libre ne sont pas pris en charge par la sécu.
Quand est-ce que je dois prendre le RDV en visio ?,Vous pouvez le prendre à la réception du tire lait et selon votre disponibilité.
Est-ce que je reçois une facture pour les 15€ ?,"Oui, une facture sera envoyé sous 3 jours ouvré après la livraison."
Est-ce que je dois aussi retourner les kits téterelles ?,Les kits étaient en achats donc vous les gardez avec vous.
Est-ce que c'est obligatoire d'acheter les kits ?,Ce sont des accessoires nécessaire pour tirer votre lait. Ils sont indispensable au tire lait.
J’ai été débitée d’un montant de **€ alors qu’on m’avait indiqué que les frais de location étaient pris en charge.,"Nous n’avons pas pu appliquer le tiers-payant, car il n’y avait plus d’ordonnance à jour."
Le tire-lait a perdu de la puissance. Je n’arrive plus à tirer la même quantité qu’avant.,"Il faut ajuster la vitesse selon l’âge de votre bébé et l’état de votre sein. Plus vous la baissez, plus le tire-lait va tirer en profondeur."
